date,plant_id,plant_name,state,region,FUEL_COST,QUANTITY
2024-01-01,60,Whelan Energy Center,NE,Midwest,1428.0,1429
2024-01-01,130,Cross,SC,South,2044.9,6107
2024-01-01,136,Seminole (FL),FL,South,2102.5,1245
2024-01-01,136,Seminole (FL),FL,South,2230.4,93
2024-01-01,492,South Plant (CO),CO,West,1871.8,1000
2024-01-01,492,South Plant (CO),CO,West,2590.4,1333
2024-01-01,546,Montville Station,CT,Northeast,,246
2024-01-01,562,Middletown,CT,Northeast,,246
2024-01-01,594,Indian River Generating Station,DE,South,,1786
2024-01-01,602,Brandon Shores,MD,South,,5759
2024-01-01,627,Bayboro,FL,South,2094.1,380
2024-01-01,666,J D Kennedy,FL,South,2005.7,165
2024-01-01,703,Bowen,GA,South,2215.8,5756
2024-01-01,715,McManus,GA,South,2370.6,970
2024-01-01,715,McManus,GA,South,3923.7,1354
2024-01-01,728,Yates,GA,South,2215.4,41
2024-01-01,728,Yates,GA,South,8198.7,63
2024-01-01,766,Waiau,HI,West,2038.0,16778
2024-01-01,766,Waiau,HI,West,2038.0,14524
2024-01-01,766,Waiau,HI,West,2016.7,16287
2024-01-01,883,Waukegan,IL,Midwest,,1145
2024-01-01,886,Fisk Street,IL,Midwest,,900
2024-01-01,889,Baldwin Energy Complex,IL,Midwest,,714
2024-01-01,983,Clifty Creek,IN,Midwest,1716.6,1071
2024-01-01,994,AES Petersburg,IN,Midwest,1870.4,724
2024-01-01,1001,Cayuga,IN,Midwest,1760.7,901
2024-01-01,1040,Whitewater Valley,IN,Midwest,1854.2,283
2024-01-01,1082,Walter Scott Jr Energy Center,IA,Midwest,1836.0,4650
2024-01-01,1082,Walter Scott Jr Energy Center,IA,Midwest,1803.6,5180
2024-01-01,1240,Gordon Evans Energy Center,KS,Midwest,1780.9,12016
2024-01-01,1241,La Cygne,KS,Midwest,1810.2,5388
2024-01-01,1248,Hutchinson Energy Center,KS,Midwest,1761.5,5400
2024-01-01,1295,Quindaro,KS,Midwest,1596.0,1049
2024-01-01,1295,Quindaro,KS,Midwest,1835.1,7563
2024-01-01,1305,McPherson 2,KS,Midwest,1847.2,6836
2024-01-01,1379,Shawnee,KY,South,1468.0,2468
2024-01-01,1384,Cooper,KY,South,1962.0,180
2024-01-01,1384,Cooper,KY,South,2212.0,362
2024-01-01,1393,R S Nelson,LA,South,1910.9,2670
2024-01-01,1554,Herbert A Wagner,MD,South,,23864
2024-01-01,1571,Chalk Point Power,MD,South,,4698
2024-01-01,1595,Kendall Square Station,MA,Northeast,,4761
2024-01-01,1660,Potter Station 2,MA,Northeast,1844.5,1309
2024-01-01,1710,J H Campbell,MI,Midwest,1744.6,1787
